Repo Name,Stars
Ekliptor/WolfBot,555
jfbouzereau/explorer,152
ivanseidel/IAMDinosaur,2763
mateogianolio/hopfield-colors,129
mateogianolio/ocr,1123
intelligo-mn/neuro,148
yubowenok/visflow,110
krystianity/coinpusher,161
nemo/natural-synaptic,112
