Repo Name,Stars
ralscha/blog2019,111
intelligo-mn/intelligo,390
axa-group/nlp.js-app,124
erelsgl/limdu,1010
cagataycali/lazy,148
mubaidr/vue-electron-template,299
axa-group/nlp.js,4841
JohnCoene/javascript-for-r,138
Jcharis/Machine-Learning-Web-Apps,426
mysamai/natural-brain,317
