Repo Name,Stars
nidhaloff/igel,2976
mlco2/codecarbon,386
kubeflow/kfp-tekton,102
google/qkeras,372
ml-tooling/ml-workspace,2485
tensorflow/adanet,3378
google/model_search,3195
keras-team/autokeras,8407
rafiqhasan/auto-tensorflow,136
keras-team/keras-io,1486
