Repo Name,Stars
microsoft/onnxjs,1590
alextran1502/immich,932
DonJayamanne/typescript-notebook,677
HunterXuan/wx-tfjs-demo,388
vercel/examples,884
cloud-annotations/cloud-annotations,2616
kinglisky/zelda-words,130
testdotai/appium-classifier-plugin,241
katanaml/katana-skipper,224
koush/scrypted,731
