Repo Name,Stars
intel/neural-compressor,337
atoti/notebooks,223
optuna/optuna-examples,167
Alibaba-NLP/ACE,160
adap/flower,936
aws-samples/aws-machine-learning-university-accelerated-tab,831
illacceptanything/illacceptanything,1821
aws-samples/amazon-sagemaker-immersion-day,104
TuSimple/RangeDet,127
NVIDIA/tensorrt-laboratory,256
